seed	dq	dp	de	dgf	dgm	dg1	dg2	dg3	dg4	pf	pm	p1	p2	p3	p4	blue_daf	blue_dam	blue_da1	blue_da2	blue_da3	blue_da4	pink_daf	pink_dam	pink_da1	pink_da2	pink_da3	pink_da4	blue_laf	blue_lam	blue_la1	blue_la2	blue_la3	blue_la4	pink_laf	pink_lam	pink_la1	pink_la2	pink_la3	pink_la4	pedid	xr1	blue_recomb	x1	xr2	pink_recomb	x2	x	i	dallele	lallele	Y
463937847	0.4	0.6	0.1	2	2	2	2	1	2	-0.02434931	0.0499365051	0.0572205527	0.044887339	-0.596858361	0.0304009329	1	1	1	1	1	1	2	2	2	2	1	2	5	5	5	5	5	5	2	5	5	5	5	5	1	0.6234570307	0	0.0205710237	0.8318180502	0	0.9870145204	0.304009329	1	1	5	0
463937847	0.4	0.6	0.1	2	2	2	2	1	2	-0.02434931	0.0499365051	0.0572205527	0.044887339	-0.596858361	0.0304009329	1	1	1	1	1	1	2	2	2	2	1	2	5	5	5	5	5	5	2	5	5	5	5	5	1	0.6234570307	0	0.0205710237	0.8318180502	0	0.9870145204	0.304009329	1	2	2	1
866987325	0.4	0.6	0.1	1	1	1	1	1	1	-0.581862986	-0.550944425	-0.713081632	-0.711292623	-0.549400388	-0.677319171	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	5	1	1	1	4	2	2	4	2	2	0.9400171987	0	0.7342605459	0.9020078894	0	0.4989527289	-0.773191711	1	1	5	0
866987325	0.4	0.6	0.1	1	1	1	1	1	1	-0.581862986	-0.550944425	-0.713081632	-0.711292623	-0.549400388	-0.677319171	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	5	1	1	1	4	2	2	4	2	2	0.9400171987	0	0.7342605459	0.9020078894	0	0.4989527289	-0.773191711	1	1	1	0
998823970	0.4	0.6	0.1	2	2	1	2	2	1	-0.052238315	0.0577706572	-0.559776748	0.2045187705	-0.168968213	-0.843170468	2	2	1	1	1	1	1	1	1	2	2	1	4	4	4	4	4	4	4	4	4	4	4	4	3	0.4551060942	0	0.8308473927	0.8741349317	0	0.5616698151	-2.431704678	1	2	4	1
998823970	0.4	0.6	0.1	2	2	1	2	2	1	-0.052238315	0.0577706572	-0.559776748	0.2045187705	-0.168968213	-0.843170468	2	2	1	1	1	1	1	1	1	2	2	1	4	4	4	4	4	4	4	4	4	4	4	4	3	0.4551060942	0	0.8308473927	0.8741349317	0	0.5616698151	-2.431704678	1	1	4	0
734635899	0.4	0.6	0.1	1	1	1	1	1	1	-0.70312857	-0.458062619	-0.469660496	-0.575802988	-0.446338592	-0.647311886	1	1	1	1	1	1	1	1	1	1	1	1	5	6	5	5	5	5	5	3	6	3	6	3	4	0.8599847475	0	0.4983037685	0.8867703028	0	0.7267521409	-0.473118856	1	1	5	0
734635899	0.4	0.6	0.1	1	1	1	1	1	1	-0.70312857	-0.458062619	-0.469660496	-0.575802988	-0.446338592	-0.647311886	1	1	1	1	1	1	1	1	1	1	1	1	5	6	5	5	5	5	5	3	6	3	6	3	4	0.8599847475	0	0.4983037685	0.8867703028	0	0.7267521409	-0.473118856	1	1	5	0
1962974514	0.4	0.6	0.1	3	2	2	2	3	2	0.8329319947	-0.090480959	-0.040014738	-0.005006855	0.6904375025	0.1063680044	2	1	2	2	2	2	2	2	1	1	2	1	4	2	1	1	4	4	1	3	2	2	3	2	5	0.3580578409	0	0.2918987406	0.7963616358	0	0.0482422607	1.0636800442	1	2	4	1
1962974514	0.4	0.6	0.1	3	2	2	2	3	2	0.8329319947	-0.090480959	-0.040014738	-0.005006855	0.6904375025	0.1063680044	2	1	2	2	2	2	2	2	1	1	2	1	4	2	1	1	4	4	1	3	2	2	3	2	5	0.3580578409	0	0.2918987406	0.7963616358	0	0.0482422607	1.0636800442	1	2	1	1
